name,released,metacritic,rating,ratings_count,playtime,Platform,Genre,Publisher,NA_Sales(MM),EU_Sales(MM),JP_Sales(MM),Other_Sales(MM),Global_Sales(MM),price,Platform_Group
Panzer Dragoon Orta,2003-01-12,90.0,4.14,7,0,XB,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,,Xbox Consoles
Tenchu: Fatal Shadows,2004-07-22,58.0,4.11,9,0,PS2,Action,Sega,0.09,0.07,0.0,0.02,0.19,,PlayStation Consoles
Breath of Fire: Dragon Quarter,2002-11-14,78.0,3.6,10,0,PS2,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.19,,PlayStation Consoles
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002-09-10,71.0,3.43,5,0,GBA,Platform,THQ,0.92,0.23,0.0,0.04,1.19,,Handhelds
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002-09-10,71.0,3.43,5,0,PS2,Platform,THQ,0.53,0.41,0.0,0.14,1.08,,PlayStation Consoles
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002-09-10,71.0,3.43,5,0,GC,Platform,THQ,0.15,0.04,0.0,0.01,0.2,,Nintendo Consoles
Disney's Tarzan Untamed,2001-01-01,61.0,3.11,9,0,PS2,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41,,PlayStation Consoles
Disney's Tarzan Untamed,2001-01-01,61.0,3.11,9,0,GC,Platform,Ubisoft,0.14,0.04,0.0,0.0,0.18,,Nintendo Consoles
Dragon Ball Z: Supersonic Warriors,2004-06-22,73.0,3.44,9,0,GBA,Fighting,Atari,0.36,0.13,0.0,0.01,0.51,,Handhelds
Downhill Domination,2003-07-22,79.0,4.57,14,0,PS2,Racing,Codemasters,0.23,0.18,0.0,0.06,0.47,,PlayStation Consoles
Dragon Ball Z: The Legacy of Goku II,2003-06-17,75.0,4.12,13,0,GBA,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,,Handhelds
Boktai: The Sun Is in Your Hand,2003-07-16,83.0,4.33,6,0,GBA,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15,,Handhelds
Looney Tunes: Back in Action,2003-11-24,58.0,4.0,8,0,PS2,Platform,Warner Bros. Interactive Entertainment,0.25,0.19,0.0,0.06,0.5,,PlayStation Consoles
Looney Tunes: Back in Action,2003-11-24,58.0,4.0,8,0,GBA,Platform,Electronic Arts,0.13,0.05,0.0,0.0,0.18,,Handhelds
Looney Tunes: Back in Action,2003-11-24,58.0,4.0,8,0,GC,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0.0,0.0,0.17,,Nintendo Consoles
Fallout: Brotherhood of Steel,2004-01-14,65.0,3.0,12,0,PS2,Role-Playing,Avalon Interactive,0.03,0.03,0.0,0.01,0.07,,PlayStation Consoles
Fallout: Brotherhood of Steel,2004-01-14,65.0,3.0,12,0,XB,Role-Playing,Avalon Interactive,0.04,0.01,0.0,0.0,0.05,,Xbox Consoles
SAIYUKI: Journey West,2001-08-13,73.0,3.71,7,0,PS,Strategy,Tecmo Koei,0.03,0.02,0.0,0.0,0.05,,PlayStation Consoles
Disney's 102 Dalmatians: Puppies to the Rescue,2000-11-01,66.0,4.0,13,0,PS,Platform,Eidos Interactive,0.34,0.23,0.0,0.04,0.62,,PlayStation Consoles
Jet Li: Rise to Honor,2004-02-17,68.0,4.17,11,0,PS2,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27,,PlayStation Consoles
Maximo vs. Army of Zin,2003-09-18,83.0,4.0,6,0,PS2,Platform,Capcom,0.1,0.08,0.0,0.03,0.21,,PlayStation Consoles
Fuzion Frenzy,2001-09-23,70.0,4.38,8,0,XB,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,,Xbox Consoles
Lemony Snicket's A Series of Unfortunate Events,2004-11-09,63.0,3.73,11,18,PS2,Platform,Activision,0.31,0.24,0.0,0.08,0.64,,PlayStation Consoles
Lemony Snicket's A Series of Unfortunate Events,2004-11-09,63.0,3.73,11,18,GBA,Platform,Activision,0.3,0.11,0.0,0.01,0.42,,Handhelds
Lemony Snicket's A Series of Unfortunate Events,2004-11-09,63.0,3.73,11,18,GC,Platform,Activision,0.2,0.05,0.0,0.01,0.26,,Nintendo Consoles
Lemony Snicket's A Series of Unfortunate Events,2004-11-09,63.0,3.73,11,18,XB,Platform,Activision,0.09,0.03,0.0,0.0,0.12,,Xbox Consoles
Terminator 3: The Redemption,2004-09-02,68.0,3.0,13,0,PS2,Shooter,Atari,0.08,0.06,0.0,0.02,0.17,,PlayStation Consoles
Terminator 3: The Redemption,2004-09-02,68.0,3.0,13,0,XB,Shooter,Atari,0.05,0.01,0.0,0.0,0.06,,Xbox Consoles
Terminator 3: The Redemption,2004-09-02,68.0,3.0,13,0,GC,Shooter,Atari,0.02,0.0,0.0,0.0,0.02,,Nintendo Consoles
Front Mission 4,2004-06-15,75.0,3.22,9,0,PS2,Strategy,Square Enix,0.14,0.11,0.25,0.04,0.54,,PlayStation Consoles
Tekken Advance,2002-06-28,82.0,3.25,8,0,GBA,Fighting,Infogrames,0.32,0.12,0.0,0.01,0.45,,Handhelds
Tomb Raider: The Prophecy,2002-11-12,66.0,2.83,6,0,GBA,Action,Ubisoft,0.1,0.04,0.0,0.0,0.14,,Handhelds
ToCA Race Driver 2: Ultimate Racing Simulator,2004-04-15,82.0,3.5,8,0,PSP,Racing,Codemasters,0.0,0.25,0.0,0.0,0.26,,Handhelds
ToCA Race Driver 2: Ultimate Racing Simulator,2004-04-15,82.0,3.5,8,0,XB,Racing,Codemasters,0.09,0.03,0.0,0.0,0.13,,Xbox Consoles
ToCA Race Driver 2: Ultimate Racing Simulator,2004-04-15,82.0,3.5,8,0,PS2,Racing,Codemasters,0.03,0.02,0.0,0.01,0.06,,PlayStation Consoles
Vexx,2003-02-10,67.0,0.0,5,0,PS2,Platform,Acclaim Entertainment,0.12,0.09,0.0,0.03,0.24,,PlayStation Consoles
Vexx,2003-02-10,67.0,0.0,5,0,XB,Platform,Acclaim Entertainment,0.08,0.02,0.0,0.0,0.1,,Xbox Consoles
Vexx,2003-02-10,67.0,0.0,5,0,GC,Platform,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,,Nintendo Consoles
Terminator 3: Rise of the Machines,2003-08-13,38.0,1.8,10,0,PS2,Action,Atari,0.28,0.22,0.0,0.07,0.58,,PlayStation Consoles
Terminator 3: Rise of the Machines,2003-08-13,38.0,1.8,10,0,XB,Action,Atari,0.11,0.03,0.0,0.01,0.14,,Xbox Consoles
Terminator 3: Rise of the Machines,2003-08-13,38.0,1.8,10,0,GBA,Action,Atari,0.04,0.02,0.0,0.0,0.06,,Handhelds
Gungrave: Overdose,2004-03-04,68.0,0.0,2,0,PS2,Shooter,Play It,0.07,0.05,0.0,0.02,0.14,,PlayStation Consoles
Shrek,2001-11-15,49.0,2.33,6,0,XB,Platform,TDK Mediactive,0.25,0.1,0.0,0.01,0.36,,Xbox Consoles
The Fairly OddParents: Breakin' da Rules,2003-11-18,60.0,0.0,4,0,GC,Platform,THQ,0.16,0.04,0.0,0.01,0.21,,Nintendo Consoles
Shining Soul II,2003-07-24,74.0,0.0,3,0,GBA,Role-Playing,THQ,0.06,0.02,0.0,0.0,0.08,,Handhelds
Mega Man Network Transmission,2003-03-06,65.0,0.0,5,0,GC,Platform,Capcom,0.13,0.03,0.0,0.0,0.17,,Nintendo Consoles
Cel Damage,2001-11-14,60.0,0.0,5,0,XB,Racing,Electronic Arts,0.09,0.03,0.0,0.0,0.12,,Xbox Consoles
Cel Damage,2001-11-14,60.0,0.0,5,0,GC,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06,,Nintendo Consoles
WWF No Mercy,2000-11-17,89.0,4.12,8,0,N64,Fighting,THQ,1.2,0.27,0.02,0.02,1.5,,Nintendo Consoles
Summon Night: Swordcraft Story,2003-04-25,77.0,4.0,8,0,GBA,Role-Playing,Banpresto,0.02,0.01,0.0,0.0,0.02,,Handhelds
Star Wars Episode I: Battle for Naboo,2000-12-18,54.0,4.0,6,0,N64,Simulation,LucasArts,0.21,0.05,0.0,0.0,0.26,,Nintendo Consoles
Rayman Advance,2001-06-11,84.0,0.0,5,0,GBA,Platform,Ubisoft,0.36,0.13,0.0,0.01,0.5,,Handhelds
Echo Night: Beyond,2004-07-27,60.0,0.0,4,0,PS2,Adventure,Indie Games,0.02,0.01,0.0,0.0,0.04,,PlayStation Consoles
.hack//Mutation Part 2,2002-09-19,76.0,0.0,4,0,PS2,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,,PlayStation Consoles
Banjo-Kazooie: Grunty's Revenge,2003-09-10,72.0,3.29,6,0,GBA,Platform,THQ,0.24,0.09,0.0,0.01,0.33,,Handhelds
.hack//Outbreak Part 3,2003-09-09,70.0,0.0,4,0,PS2,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,,PlayStation Consoles
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,2004-09-21,65.0,0.0,3,0,PS2,Adventure,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,,PlayStation Consoles
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,2004-09-21,65.0,0.0,3,0,XB,Adventure,Disney Interactive Studios,0.06,0.02,0.0,0.0,0.09,,Xbox Consoles
Time Crisis 3,2003-10-21,81.0,0.0,3,0,PS2,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,,PlayStation Consoles
Drakan: The Ancients' Gates,2002-01-28,78.0,0.0,4,0,PS2,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,,PlayStation Consoles
Wave Race: Blue Storm,2001-09-14,80.0,0.0,0,0,GC,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,,Nintendo Consoles
Twisted Metal: Small Brawl,2001-11-26,51.0,3.44,9,0,PS,Action,Unknown,0.1,0.07,0.0,0.01,0.18,,PlayStation Consoles
Scooby-Doo! Night of 100 Frights,2002-05-20,69.0,3.5,6,0,PS2,Platform,THQ,1.17,0.72,0.0,0.22,2.1,,PlayStation Consoles
Scooby-Doo! Night of 100 Frights,2002-05-20,69.0,3.5,6,0,GC,Platform,THQ,0.23,0.06,0.0,0.01,0.3,,Nintendo Consoles
Scooby-Doo! Night of 100 Frights,2002-05-20,69.0,3.5,6,0,XB,Platform,THQ,0.11,0.03,0.0,0.01,0.14,,Xbox Consoles
Bujingai: The Forsaken City,2003-12-25,72.0,0.0,4,0,PS2,Fighting,505 Games,0.05,0.04,0.0,0.01,0.1,,PlayStation Consoles
Disaster Report,2003-02-15,66.0,4.0,7,0,PS2,Action,Agetec,0.03,0.02,0.15,0.01,0.21,,PlayStation Consoles
Shining Force: Resurrection of the Dark Dragon,2004-06-08,77.0,0.0,5,0,GBA,Role-Playing,THQ,0.06,0.02,0.0,0.0,0.08,,Handhelds
Grandia Xtreme,2002-01-31,68.0,0.0,3,0,PS2,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38,,PlayStation Consoles
EyeToy: Play 2,2004-11-05,77.0,3.86,7,0,PS2,Misc,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.38,,PlayStation Consoles
Stella Deus: the Gate of Eternity,2004-10-28,75.0,0.0,3,0,PS2,Strategy,505 Games,0.04,0.03,0.0,0.01,0.08,,PlayStation Consoles
18 Wheeler: American Pro Trucker,2000-07-26,56.0,3.62,13,0,PS2,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,,PlayStation Consoles
18 Wheeler: American Pro Trucker,2000-07-26,56.0,3.62,13,0,GC,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,,Nintendo Consoles
Klonoa 2: Dream Champ Tournament,2002-08-06,78.0,0.0,5,0,GBA,Platform,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,,Handhelds
Eternal Ring,2000-03-04,62.0,0.0,4,0,PS2,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,,PlayStation Consoles
Armored Core 2,2000-10-26,78.0,0.0,5,0,PS2,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,,PlayStation Consoles
WWF SmackDown! Just Bring It,2001-11-19,76.0,3.67,6,0,PS2,Fighting,THQ,1.19,1.15,0.04,0.41,2.79,,PlayStation Consoles
King's Field: The Ancient City,2001-10-01,60.0,4.2,9,0,PS2,Role-Playing,Metro 3D,0.05,0.04,0.0,0.01,0.1,,PlayStation Consoles
Final Fantasy I & II: Dawn of Souls,2004-07-29,79.0,0.0,4,0,GBA,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,,Handhelds
Armored Core 3,2002-09-10,74.0,3.67,6,0,PS2,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,,PlayStation Consoles
Medal of Honor: Infiltrator,2003-11-17,80.0,2.67,6,0,GBA,Shooter,Electronic Arts,0.11,0.04,0.0,0.0,0.15,,Handhelds
Yu-Gi-Oh! Capsule Monster Coliseum,2004-07-29,62.0,4.33,6,0,PS2,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,,PlayStation Consoles
Syphon Filter: The Omega Strain,2004-06-04,65.0,0.0,3,0,PS2,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76,,PlayStation Consoles
Dino Stalker,2002-06-27,50.0,0.0,3,0,PS2,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,,PlayStation Consoles
Disney's Peter Pan: Return to Never Land,2002-02-14,59.0,0.0,3,0,GBA,Platform,Ubisoft,0.08,0.03,0.0,0.0,0.11,,Handhelds
Gitaroo Man,2002-02-19,80.0,0.0,3,0,PS2,Misc,THQ,0.02,0.02,0.0,0.01,0.05,,PlayStation Consoles
Madden NFL 2001,2000-08-22,84.0,0.0,1,0,PS,Sports,Electronic Arts,1.58,0.05,0.0,0.04,1.67,,PlayStation Consoles
Madden NFL 2001,2000-08-22,84.0,0.0,1,0,PS2,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,,PlayStation Consoles
Madden NFL 2001,2000-08-22,84.0,0.0,1,0,N64,Sports,Electronic Arts,0.6,0.03,0.0,0.01,0.64,,Nintendo Consoles
Inuyasha: A Feudal Fairy Tale,2002-12-05,69.0,0.0,4,0,PS,Fighting,Namco Bandai Games,0.0,0.0,0.1,0.01,0.11,,PlayStation Consoles
Mega Man: Battle Chip Challenge,2003-08-08,54.0,0.0,4,0,GBA,Misc,Capcom,0.08,0.03,0.0,0.0,0.11,,Handhelds
Mario Golf: Advance Tour,2004-04-22,84.0,3.33,5,0,GBA,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45,,Handhelds
Boktai 2: Solar Boy Django,2004-07-22,78.0,0.0,2,0,GBA,Role-Playing,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04,,Handhelds
Smuggler's Run,2000-10-26,79.0,0.0,2,0,PS2,Racing,Take-Two Interactive,0.77,0.6,0.0,0.2,1.56,,PlayStation Consoles
Smuggler's Run,2000-10-26,79.0,0.0,2,0,GBA,Racing,Rebellion,0.01,0.0,0.0,0.0,0.01,,Handhelds
Evergrace,2000-04-27,59.0,0.0,2,0,PS2,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,,PlayStation Consoles
Breakdown,2004-03-16,71.0,0.0,3,0,XB,Adventure,Electronic Arts,0.09,0.03,0.0,0.0,0.12,,Xbox Consoles
Scooby-Doo! Mystery Mayhem,2003-09-10,55.0,3.71,7,0,PS2,Action,THQ,0.22,0.17,0.0,0.06,0.45,,PlayStation Consoles
Scooby-Doo! Mystery Mayhem,2003-09-10,55.0,3.71,7,0,GBA,Action,THQ,0.31,0.12,0.0,0.01,0.44,,Handhelds
Scooby-Doo! Mystery Mayhem,2003-09-10,55.0,3.71,7,0,GC,Action,THQ,0.17,0.04,0.0,0.01,0.22,,Nintendo Consoles
Scooby-Doo! Mystery Mayhem,2003-09-10,55.0,3.71,7,0,XB,Action,THQ,0.11,0.03,0.0,0.01,0.15,,Xbox Consoles
Spawn: Armageddon,2003-11-21,56.0,0.0,4,0,PS2,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44,,PlayStation Consoles
Spawn: Armageddon,2003-11-21,56.0,0.0,4,0,XB,Action,Electronic Arts,0.13,0.04,0.0,0.01,0.17,,Xbox Consoles
Spawn: Armageddon,2003-11-21,56.0,0.0,4,0,GC,Action,Electronic Arts,0.05,0.01,0.0,0.0,0.07,,Nintendo Consoles
Tom and Jerry in War of the Whiskers,2002-10-22,63.0,0.0,5,0,PS2,Fighting,Ubisoft,0.13,0.1,0.0,0.03,0.26,,PlayStation Consoles
Tom and Jerry in War of the Whiskers,2002-10-22,63.0,0.0,5,0,GC,Fighting,NewKidCo,0.05,0.01,0.0,0.0,0.07,,Nintendo Consoles
Tom and Jerry in War of the Whiskers,2002-10-22,63.0,0.0,5,0,XB,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03,,Xbox Consoles
Robotech: Battlecry,2002-09-25,73.0,0.0,3,0,PS2,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,,PlayStation Consoles
Robotech: Battlecry,2002-09-25,73.0,0.0,3,0,XB,Shooter,Unknown,0.16,0.05,0.0,0.01,0.21,,Xbox Consoles
Robotech: Battlecry,2002-09-25,73.0,0.0,3,0,GC,Shooter,TDK Mediactive,0.13,0.03,0.0,0.0,0.16,,Nintendo Consoles
Minority Report: Everybody Runs,2002-11-12,50.0,4.17,6,0,PS2,Action,Activision,0.2,0.15,0.0,0.05,0.41,,PlayStation Consoles
Minority Report: Everybody Runs,2002-11-12,50.0,4.17,6,0,GC,Action,Activision,0.08,0.02,0.0,0.0,0.1,,Nintendo Consoles
Minority Report: Everybody Runs,2002-11-12,50.0,4.17,6,0,XB,Action,Activision,0.07,0.02,0.0,0.0,0.1,,Xbox Consoles
Minority Report: Everybody Runs,2002-11-12,50.0,4.17,6,0,GBA,Action,Activision,0.03,0.01,0.0,0.0,0.04,,Handhelds
Otogi: Myth of Demons,2004-05-04,80.0,0.0,3,0,XB,Action,Sega,0.08,0.02,0.03,0.0,0.13,,Xbox Consoles
Ford Racing,2000-09-07,51.0,0.0,2,0,PS,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,,PlayStation Consoles
F1 Championship Season 2000,2000-11-30,70.0,0.0,3,0,PS2,Racing,Electronic Arts,0.06,0.05,0.03,0.02,0.16,,PlayStation Consoles
Spy Fiction,2003-12-25,61.0,0.0,1,0,PS2,Action,Sega,0.02,0.02,0.0,0.01,0.04,,PlayStation Consoles
Asphalt Urban GT,2004-11-21,60.0,0.0,4,0,DS,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6,,Handhelds
SOCOM II US Navy Seals,2003-11-04,87.0,0.0,0,0,PS2,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94,,PlayStation Consoles
Fullmetal Alchemist and the Broken Angel,2003-12-25,56.0,0.0,5,0,PS2,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,,PlayStation Consoles
RLH: Run Like Hell,2002-09-27,58.0,0.0,2,0,PS2,Shooter,Virgin Interactive,0.05,0.04,0.0,0.01,0.1,,PlayStation Consoles
RLH: Run Like Hell,2002-09-27,58.0,0.0,2,0,XB,Shooter,Avalon Interactive,0.03,0.01,0.0,0.0,0.04,,Xbox Consoles
Disney's The Haunted Mansion,2003-10-14,70.0,0.0,2,0,PS2,Platform,Take-Two Interactive,0.18,0.14,0.0,0.05,0.36,,PlayStation Consoles
Disney's The Haunted Mansion,2003-10-14,70.0,0.0,2,0,GC,Platform,Take-Two Interactive,0.08,0.02,0.0,0.0,0.1,,Nintendo Consoles
Disney's The Haunted Mansion,2003-10-14,70.0,0.0,2,0,XB,Platform,Take-Two Interactive,0.07,0.02,0.0,0.0,0.09,,Xbox Consoles
Steel Battalion,2002-09-12,83.0,0.0,1,0,XB,Simulation,Microsoft Game Studios,0.05,0.02,0.02,0.0,0.1,,Xbox Consoles
F-Zero: GP Legend,2003-11-28,77.0,0.0,3,0,GBA,Racing,Nintendo,0.11,0.04,0.0,0.0,0.16,,Handhelds
CT Special Forces,2001-01-02,71.0,0.0,5,0,GBA,Action,LSP Games,0.02,0.01,0.0,0.0,0.03,,Handhelds
Gekido Advance: Kintaro's Revenge,2003-11-25,70.0,0.0,4,0,GBA,Action,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,,Handhelds
Die Hard: Vendetta,2002-11-15,54.0,0.0,4,0,GC,Shooter,NDA Productions,0.09,0.02,0.0,0.0,0.12,,Nintendo Consoles
Serious Sam Advance,2004-04-12,51.0,0.0,3,0,GBA,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02,,Handhelds
Sydney 2000,2000-07-31,51.0,0.0,3,0,PS,Sports,Eidos Interactive,0.15,0.1,0.0,0.02,0.27,,PlayStation Consoles
Mario Pinball Land,2004-08-26,62.0,2.83,6,0,GBA,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,,Handhelds
Kya: Dark Lineage,2003-11-18,69.0,0.0,1,0,PS2,Adventure,Atari,0.08,0.06,0.0,0.02,0.16,,PlayStation Consoles
Final Fantasy I & II Dawn of Souls,2004-07-29,79.0,0.0,2,0,GBA,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,,Handhelds
Jade Cocoon 2,2001-08-30,76.0,0.0,5,0,PS2,Role-Playing,Ubisoft,0.05,0.04,0.0,0.01,0.1,,PlayStation Consoles
SOCOM: U.S. Navy SEALs,2002-08-27,82.0,0.0,1,0,PS2,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,,PlayStation Consoles
Ice Age,2002-04-19,47.0,0.0,3,0,GBA,Action,Ubisoft,0.27,0.1,0.0,0.01,0.38,,Handhelds
Blues Brothers 2000,2000-10-16,32.0,0.0,1,0,N64,Platform,Virgin Interactive,0.04,0.01,0.0,0.0,0.05,,Nintendo Consoles
Tom Clancy's Ghost Recon: Jungle Storm,2004-01-01,70.0,0.0,3,0,PS2,Shooter,Ubisoft,0.57,0.44,0.0,0.15,1.16,,PlayStation Consoles
WWE SmackDown! Shut Your Mouth,2002-11-13,82.0,0.0,4,0,PS2,Sports,THQ,1.45,1.13,0.07,0.38,3.02,,PlayStation Consoles
Yager,2003-10-03,70.0,0.0,4,0,XB,Shooter,THQ,0.03,0.01,0.0,0.0,0.05,,Xbox Consoles
The Mummy Returns,2001-10-03,44.0,2.83,6,0,PS2,Action,Universal Interactive,0.25,0.19,0.0,0.06,0.5,,PlayStation Consoles
Hot Wheels: Velocity X,2002-10-16,54.0,0.0,0,0,PS2,Racing,THQ,0.23,0.18,0.0,0.06,0.47,,PlayStation Consoles
Hot Wheels: Velocity X,2002-10-16,54.0,0.0,0,0,GBA,Racing,THQ,0.12,0.04,0.0,0.0,0.16,,Handhelds
Hot Wheels: Velocity X,2002-10-16,54.0,0.0,0,0,GC,Racing,THQ,0.09,0.02,0.0,0.0,0.11,,Nintendo Consoles
Spyro Orange: The Cortex Conspiracy,2004-06-03,60.0,0.0,5,0,GBA,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,,Handhelds
Athens 2004,2004-07-02,51.0,0.0,2,0,PS2,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.27,,PlayStation Consoles
Armored Core 2: Another Age,2001-08-22,75.0,0.0,1,0,PS2,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,,PlayStation Consoles
Dr. Seuss' The Cat in the Hat,2003-11-05,48.0,0.0,2,0,PS2,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56,,PlayStation Consoles
Dr. Seuss' The Cat in the Hat,2003-11-05,48.0,0.0,2,0,XB,Misc,Vivendi Games,0.08,0.02,0.0,0.0,0.11,,Xbox Consoles
Onimusha Tactics,2003-07-25,64.0,0.0,4,0,GBA,Strategy,Capcom,0.06,0.02,0.0,0.0,0.08,,Handhelds
Arc the Lad: End of Darkness,2004-11-03,59.0,0.0,1,0,PS2,Role-Playing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.06,,PlayStation Consoles
Rumble Roses,2004-11-09,66.0,0.0,2,0,PS2,Fighting,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.39,,PlayStation Consoles
Growlanser Generations,2004-12-07,81.0,0.0,0,0,PS2,Role-Playing,Atlus,0.06,0.04,0.0,0.01,0.11,,PlayStation Consoles
Way of the Samurai 2,2003-01-31,59.0,0.0,1,0,PS2,Action,Capcom,0.05,0.04,0.23,0.01,0.33,,PlayStation Consoles
The Scorpion King: Rise of the Akkadian,2002-09-11,47.0,0.0,1,0,PS2,Action,Universal Interactive,0.11,0.09,0.0,0.03,0.23,,PlayStation Consoles
The Scorpion King: Rise of the Akkadian,2002-09-11,47.0,0.0,1,0,GC,Action,Universal Interactive,0.08,0.02,0.0,0.0,0.11,,Nintendo Consoles
Evolution Worlds,2002-07-26,63.0,0.0,1,0,GC,Role-Playing,Ubisoft,0.06,0.02,0.0,0.0,0.08,,Nintendo Consoles
The Terminator: Dawn of Fate,2002-09-01,58.0,0.0,3,0,PS2,Action,Atari,0.2,0.16,0.0,0.05,0.41,,PlayStation Consoles
The Terminator: Dawn of Fate,2002-09-01,58.0,0.0,3,0,XB,Action,Atari,0.11,0.03,0.0,0.01,0.15,,Xbox Consoles
Yu-Gi-Oh! Dungeon Dice Monsters,2003-02-12,67.0,0.0,3,0,GBA,Misc,Konami Digital Entertainment,0.42,0.16,0.15,0.01,0.74,,Handhelds
Amazing Island,2004-01-15,59.0,0.0,1,0,GC,Strategy,Sega,0.04,0.01,0.0,0.0,0.06,,Nintendo Consoles
Disney's Tarzan: Return to the Jungle,2002-01-01,68.0,0.0,2,0,GBA,Action,Activision,0.25,0.09,0.0,0.01,0.35,,Handhelds
Salt Lake 2002,2002-01-18,46.0,0.0,1,0,PS2,Sports,Eidos Interactive,0.07,0.05,0.0,0.02,0.14,,PlayStation Consoles
Salt Lake 2002,2002-01-18,46.0,0.0,1,0,GBA,Sports,Ubisoft,0.04,0.02,0.0,0.0,0.06,,Handhelds
Mission: Impossible – Operation Surma,2003-12-02,66.0,0.0,1,0,PS2,Platform,Atari,0.14,0.11,0.0,0.04,0.28,,PlayStation Consoles
Mission: Impossible – Operation Surma,2003-12-02,66.0,0.0,1,0,XB,Platform,Atari,0.1,0.03,0.0,0.0,0.13,,Xbox Consoles
Mission: Impossible – Operation Surma,2003-12-02,66.0,0.0,1,0,GBA,Platform,Atari,0.03,0.01,0.0,0.0,0.04,,Handhelds
Mission: Impossible – Operation Surma,2003-12-02,66.0,0.0,1,0,GC,Platform,Atari,0.01,0.0,0.0,0.0,0.02,,Nintendo Consoles
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003-09-16,60.0,0.0,3,0,PS2,Action,THQ,0.21,0.16,0.0,0.05,0.42,,PlayStation Consoles
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003-09-16,60.0,0.0,3,0,GBA,Action,THQ,0.25,0.09,0.0,0.01,0.35,,Handhelds
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003-09-16,60.0,0.0,3,0,GC,Action,THQ,0.09,0.02,0.0,0.0,0.11,,Nintendo Consoles
Yu-Gi-Oh! The Eternal Duelist Soul,2002-10-15,81.0,0.0,4,0,GBA,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07,,Handhelds
Hunter: The Reckoning,2001-05-21,70.0,0.0,4,0,XB,Action,Interplay,0.28,0.08,0.0,0.01,0.38,,Xbox Consoles
Hunter: The Reckoning,2001-05-21,70.0,0.0,4,0,GC,Action,Virgin Interactive,0.08,0.02,0.0,0.0,0.1,,Nintendo Consoles
